Marker	TaxonPath	Clade	Level	MarkerLength	AmpliconSize
gi|260579795|ref|NZ_GG700815.1|:37946-39418	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_jeikeium	Corynebacterium_jeikeium	Species	1473	703
gi|260579796|ref|NZ_GG700816.1|:c282041-281199	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_jeikeium	Corynebacterium_jeikeium	Species	843	690
gi|311741741|ref|NZ_GL542877.1|:10765-11772	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	Corynebacterium_pseudogenitalium	Species	1008	688
gi|311741741|ref|NZ_GL542877.1|:c274839-274201	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	Corynebacterium_pseudogenitalium	Species	639	607
gi|311741741|ref|NZ_GL542877.1|:c32675-32286	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	Corynebacterium_pseudogenitalium	Species	390	384
gi|552779524|ref|NZ_KI515721.1|:c325186-324281	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_pseudogenitalium	Corynebacterium_pseudogenitalium	Species	906	703
gi|512466269|ref|NZ_KE150404.1|:c2352553-2351375	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_HFH0082	Corynebacterium_sp_HFH0082	Species	1179	713
gi|552861940|ref|NZ_KI515759.1|:465825-466694	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_KPL1818	Corynebacterium_sp_KPL1818	Species	870	699
gi|552862639|ref|NZ_KI515762.1|:c2437-995	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_KPL1818	Corynebacterium_sp_KPL1818	Species	1443	700
gi|552839652|ref|NZ_KI515749.1|:427956-429677	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_sp_KPL1824	Corynebacterium_sp_KPL1824	Species	1722	702
gi|255324262|ref|NZ_ACVP01000008.1|:c30911-29955	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	957	662
gi|255324262|ref|NZ_ACVP01000008.1|:c8199-6985	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	1215	715
gi|255324379|ref|NZ_ACVP01000012.1|:191207-192175	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	969	688
gi|255324379|ref|NZ_ACVP01000012.1|:c133969-133310	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	660	629
gi|255324379|ref|NZ_ACVP01000012.1|:c224628-223117	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	1512	703
gi|255324842|ref|NZ_ACVP01000019.1|:c614-294	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	321	266
gi|255324988|ref|NZ_ACVP01000023.1|:c144466-143744	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	723	678
gi|255324988|ref|NZ_ACVP01000023.1|:c170675-169767	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	909	700
gi|255325532|ref|NZ_ACVP01000028.1|:4502-4756	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	255	90
gi|255325617|ref|NZ_ACVP01000031.1|:c2144-699	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	1446	700
gi|552803646|ref|NZ_KI515731.1|:830184-831197	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	1014	688
gi|552803646|ref|NZ_KI515731.1|:c379068-378463	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	606	573
gi|552812292|ref|NZ_KI515735.1|:1411846-1412238	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	393	372
gi|552812292|ref|NZ_KI515735.1|:c1995797-1994775	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	1023	696
gi|552850245|ref|NZ_KI515751.1|:304189-304659	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	471	447
gi|552867507|ref|NZ_KI515768.1|:184972-186138	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	Species	1167	700
